"zcta","state","county","stab","CountyName","ZIPName","pop20","afact"
"ZIP census tabulation area","State code","County code","State abbr.","County name","ZIP Code name","Total population (2020 Census)","zcta-to-county allocation factor"
" ","01","01003","AL","Baldwin AL","[not in a ZCTA]",0,0 
" ","01","01007","AL","Bibb AL","[not in a ZCTA]",0,0 
" ","01","01015","AL","Calhoun AL","[not in a ZCTA]",0,0 
" ","01","01021","AL","Chilton AL","[not in a ZCTA]",0,0 
" ","01","01025","AL","Clarke AL","[not in a ZCTA]",0,0 
" ","01","01029","AL","Cleburne AL","[not in a ZCTA]",5,0.0006 
" ","01","01031","AL","Coffee AL","[not in a ZCTA]",0,0 
" ","01","01045","AL","Dale AL","[not in a ZCTA]",0,0 
" ","01","01047","AL","Dallas AL","[not in a ZCTA]",0,0 
" ","01","01097","AL","Mobile AL","[not in a ZCTA]",0,0 
" ","01","01113","AL","Russell AL","[not in a ZCTA]",0,0 
" ","02","02013","AK","Aleutians East Borough AK","[not in a ZCTA]",10,0.0012 
" ","02","02016","AK","Aleutians West Census Area AK","[not in a ZCTA]",235,0.0274 
" ","02","02020","AK","Anchorage Borough AK","[not in a ZCTA]",0,0 
" ","02","02050","AK","Bethel Census Area AK","[not in a ZCTA]",126,0.0147 
" ","02","02060","AK","Bristol Bay Borough AK","[not in a ZCTA]",0,0 
" ","02","02063","AK","02063","[not in a ZCTA]",21,0.0025 
" ","02","02066","AK","02066","[not in a ZCTA]",3,0.0004 
" ","02","02068","AK","Denali Borough AK","[not in a ZCTA]",6,0.0007 
" ","02","02070","AK","Dillingham Census Area AK","[not in a ZCTA]",1,0.0001 
" ","02","02090","AK","Fairbanks North Star Borough AK","[not in a ZCTA]",33,0.0039 
" ","02","02100","AK","Haines Borough AK","[not in a ZCTA]",0,0 
" ","02","02105","AK","Hoonah-Angoon Census Area","[not in a ZCTA]",47,0.0055 
" ","02","02110","AK","Juneau Borough AK","[not in a ZCTA]",56,0.0065 
" ","02","02122","AK","Kenai Peninsula Borough AK","[not in a ZCTA]",21,0.0025 
" ","02","02130","AK","Ketchikan Gateway Borough AK","[not in a ZCTA]",6,0.0007 
" ","02","02150","AK","Kodiak Island Borough AK","[not in a ZCTA]",33,0.0039 
" ","02","02158","AK","Kusilvak Census Area (N)","[not in a ZCTA]",117,0.0137 
" ","02","02164","AK","Lake and Peninsula Borough AK","[not in a ZCTA]",24,0.0028 
" ","02","02170","AK","Matanuska-Susitna Borough AK","[not in a ZCTA]",24,0.0028 
" ","02","02180","AK","Nome Census Area AK","[not in a ZCTA]",32,0.0037 
" ","02","02185","AK","North Slope Borough AK","[not in a ZCTA]",245,0.0286 
" ","02","02188","AK","Northwest Arctic Borough AK","[not in a ZCTA]",81,0.0095 
" ","02","02195","AK","Petersburg Census Area","[not in a ZCTA]",6,0.0007 
" ","02","02198","AK","Prince of Wales-Hyder Census Area","[not in a ZCTA]",20,0.0023 
" ","02","02220","AK","Sitka Borough AK","[not in a ZCTA]",12,0.0014 
" ","02","02240","AK","Southeast Fairbanks Census Area AK","[not in a ZCTA]",10,0.0012 
" ","02","02275","AK","Wrangell City and Borough","[not in a ZCTA]",0,0 
" ","02","02282","AK","Yakutat Borough","[not in a ZCTA]",5,0.0006 
" ","02","02290","AK","Yukon-Koyukuk Census Area AK","[not in a ZCTA]",60,0.007 
" ","04","04001","AZ","Apache AZ","[not in a ZCTA]",251,0.0293 
" ","04","04003","AZ","Cochise AZ","[not in a ZCTA]",0,0 
" ","04","04005","AZ","Coconino AZ","[not in a ZCTA]",114,0.0133 
" ","04","04007","AZ","Gila AZ","[not in a ZCTA]",13,0.0015 
" ","04","04009","AZ","Graham AZ","[not in a ZCTA]",26,0.003 
" ","04","04012","AZ","La Paz AZ","[not in a ZCTA]",0,0 
" ","04","04013","AZ","Maricopa AZ","[not in a ZCTA]",40,0.0047 
" ","04","04015","AZ","Mohave AZ","[not in a ZCTA]",27,0.0032 
" ","04","04017","AZ","Navajo AZ","[not in a ZCTA]",111,0.013 
" ","04","04019","AZ","Pima AZ","[not in a ZCTA]",0,0 
" ","04","04021","AZ","Pinal AZ","[not in a ZCTA]",51,0.006 
" ","04","04025","AZ","Yavapai AZ","[not in a ZCTA]",17,0.002 
" ","04","04027","AZ","Yuma AZ","[not in a ZCTA]",1,0.0001 
" ","05","05003","AR","Ashley AR","[not in a ZCTA]",0,0 
" ","05","05013","AR","Calhoun AR","[not in a ZCTA]",0,0 
" ","05","05043","AR","Drew AR","[not in a ZCTA]",0,0 
" ","05","05045","AR","Faulkner AR","[not in a ZCTA]",0,0 
" ","05","05047","AR","Franklin AR","[not in a ZCTA]",0,0 
" ","05","05051","AR","Garland AR","[not in a ZCTA]",3,0.0004 
" ","05","05061","AR","Howard AR","[not in a ZCTA]",1,0.0001 
" ","05","05071","AR","Johnson AR","[not in a ZCTA]",0,0 
" ","05","05077","AR","Lee AR","[not in a ZCTA]",0,0 
" ","05","05083","AR","Logan AR","[not in a ZCTA]",0,0 
" ","05","05093","AR","Mississippi AR","[not in a ZCTA]",3,0.0004 
" ","05","05097","AR","Montgomery AR","[not in a ZCTA]",0,0 
" ","05","05103","AR","Ouachita AR","[not in a ZCTA]",0,0 
